codigo_ipress,anio,mes,_archivo,_registro,variable,anterior,actual,diferencia
00004782,2017,3,data\raw\Capacidad\ConsultaA_Recurso_Salud_2017_v1.csv,2489,CA_CAMAS,22.0,107.0,85.0
00005125,2021,5,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,12647,CA_CAMAS,48.0,148.0,100.0
00005125,2022,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,10390,CA_CAMAS,53.0,153.0,100.0
00005145,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,39637,CA_CAMAS,23.0,0.0,-23.0
00005145,2024,3,data\raw\Capacidad\ConsultaA_2024_v22.csv,30995,CA_CAMAS,0.0,23.0,23.0
00005196,2020,6,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,32044,CA_CAMAS,87.0,203.0,116.0
00005251,2020,11,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,26564,CA_CAMAS,20.0,48.0,28.0
00005263,2019,7,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,26290,CA_CAMAS,8.0,20.0,12.0
00005263,2020,12,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,39342,CA_CAMAS,8.0,22.0,14.0
00005292,2020,11,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,32423,CA_CAMAS,51.0,0.0,-51.0
00005292,2021,3,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,651,CA_CAMAS,0.0,51.0,51.0
00005292,2021,12,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,37015,CA_CAMAS,51.0,0.0,-51.0
00005292,2022,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,13157,CA_CAMAS,0.0,51.0,51.0
00005292,2022,12,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,32886,CA_CAMAS,51.0,0.0,-51.0
00005292,2023,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,4975,CA_CAMAS,0.0,51.0,51.0
00005293,2017,2,data\raw\Capacidad\ConsultaA_Recurso_Salud_2017_v1.csv,2424,CA_CAMAS,3.0,51.0,48.0
00005306,2022,12,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,30963,CA_CAMAS,6.0,17.0,11.0
00005306,2023,5,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,19855,CA_CAMAS,6.0,19.0,13.0
00005306,2023,11,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,26461,CA_CAMAS,6.0,17.0,11.0
