variable,importancia
categoricas__servicio_hospitalizacion_CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-UNIDAD DE RECUPERACIÓN Y REANIMACIÓN-,0.0
categoricas__servicio_hospitalizacion_CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA- CIRUGÍA ALTAMENTE ESPECIALIZADA Y DE ALTA COMPLEJIDAD,0.0
categoricas__servicio_hospitalizacion_CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA,0.0
categoricas__id_hospitalizacion_250500,0.0
categoricas__id_hospitalizacion_250306,0.0
categoricas__id_hospitalizacion_250304,0.0
categoricas__id_hospitalizacion_250303,0.0
categoricas__id_hospitalizacion_250202,0.0
categoricas__id_hospitalizacion_250201,0.0
categoricas__id_hospitalizacion_250200,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-UROLOGÍA -,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-TRAUMATOLOGÍA Y ORTOPEDIA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-PSIQUIATRÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-PEDIATRÍA GENERAL-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-OTORRINOLARINGOLOGÍA -,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-OFTALMOLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-OBSTETRICIA / ATENCIÓN DE LA MUJER-OBSTETRICIA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEUROLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEUROCIRUGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEUMOLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEONATOLOGÍA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-NEFROLOGÍA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-MEDICINA INTERNA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-MEDICINA GENERAL / ATENCIÓN DEL ADULTO-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-INFECTOLOGÍA-,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA HEMATOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA GINECOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA GERIATRIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA GASTROENTEROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA ENDOCRINOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA DERMATOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA CARDIOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-PEDIATRÍA,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-MEDICINA,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE VIGILANCIA INTENSIVA (UVI)-INFECTADOS,0.0
categoricas__servicio_hospitalizacion_HOSPIT. EN UNIDAD DE CUID.INTEN.-UNIDAD DE TRAUMA SHOCK-,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA-EMERGENCIA / PRIORIDAD 2-UROLOGÍA,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA-EMERGENCIA / PRIORIDAD 2-TRAUMATOLOGÍA Y ORTOPEDIA,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA SHOCKTRAUMA / PRIORIDAD 1,0.0
categoricas__servicio_hospitalizacion_EMERGENCIA SALA DE OBSERVACION SALA OBSERVACION PACIENTE CRITICO,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA REUMATOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA PSIQUIATRIA PSIQUIATRIA DEL NI?O Y DEL ADOLESCENTE,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA PSIQUIATRIA PSIQUIATRIA DEL ADULTO Y GERONTE,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA PSIQUIATRIA PSIQUIATRIA - HOSPITALIZACION DE DIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA PSIQUIATRIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA ONCOLOGIA MEDICA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA NEUROVASCULARES Y METABOLICAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA NEURODEGENERATIVAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA EPILEPSIA/EPILEPTOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA ENFERMEDADES INFECCIOSAS/TRANSMISIBLES DEL SISTEMA NERVIOSO,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEUMOLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA NEFROLOGIA,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA MEDICINA TROPICAL E INFECCIOSAS,0.0
categoricas__servicio_hospitalizacion_HOSPITALIZACION DE MEDICINA MEDICINA INTERNA,0.0
