variable,anio_prueba,importancia_f1_macro_media,importancia_f1_macro_std,f1_macro_sin_permutar,n_test,n_muestra,repeticiones,random_state,metodo,es_causal,conjunto
ratio_camas_disponibles,2022,-0.0004637093087538717,0.001924752116114403,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
ocupacion_estimada,2022,0.0366671992722446,0.008384634307743175,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
presion_ingresos_camas,2022,0.001348695658927183,0.002267698069763466,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
rotacion_camas,2022,-0.0012686184146022035,0.003429532633966246,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
diferencia_ingresos_egresos,2022,-0.002244111539817517,0.0033137127283507715,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
trimestre,2022,-0.0017196502245177732,0.0009328842782811341,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
semestre,2022,0.0,0.0,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
mes_sin,2022,-0.0027616559330016686,0.00037618123693465566,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
mes_cos,2022,-0.0007909906662378896,0.0017068354756140875,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
es_fin_de_anio,2022,0.0,0.0,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_ocupacion,2022,0.0005759779845968908,0.003391117540998789,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_presion,2022,-0.0018362471484266358,0.003213021925213097,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_ingresos,2022,-0.0010490062613637274,0.0007528062767648989,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_egresos,2022,-0.001241166465894857,0.0009410063777420472,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
promedio_movil_3m_estancias,2022,-0.0033561500761808785,0.0025486884189693812,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
tendencia_ocupacion_1m,2022,-0.0019678372893904283,0.0009327197196272579,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
tendencia_presion_1m,2022,0.0035169723103371333,0.001536833363423501,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
tendencia_ingresos_1m,2022,-0.0008928699058871429,0.0009909658434748428,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
tendencia_egresos_1m,2022,-0.00044838971755841356,0.0009870652848454065,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
ocupacion_lag_1m,2022,0.0016116775185975873,0.00417186332744778,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
ocupacion_lag_2m,2022,-0.003158525379399498,0.0028601421806019925,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
ocupacion_lag_3m,2022,-0.01015268204472275,0.003323895767393929,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
pacientes_camas_lag_1m,2022,-0.004497958564661249,0.0007810300506211096,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
pacientes_camas_lag_2m,2022,-0.0035614334266247014,0.0006399970915755371,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
camas_disponibles_lag_1m,2022,-0.00022695494669933147,0.0017796655853636592,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
